Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E07000026 Allerdale,3.16859,3.20944,3.27504,3.36118,3.292,3.42231,4.04581,5.28461,5.78585,5.78424,6.77245,6.06574,6.13959,6.00274,6.51764,6.75211
E07000012 South Cambridgeshire,4.32008,4.66679,4.87038,5.74705,5.86063,6.45215,6.88821,6.7502,7.41062,7.05582,8.27538,7.92609,6.39578,7.34151,8.02441,7.586
E07000011 Huntingdonshire,3.65511,3.77762,3.97544,4.33984,4.47996,5.28445,6.03548,6.61447,6.8431,7.36084,7.46469,7.34759,6.50032,6.89193,6.6233,6.82501
E07000010 Fenland,2.72299,2.7029,2.66482,3.25596,3.72882,4.77007,5.25499,5.87557,6.35248,5.99626,6.1047,6.6093,5.54189,6.32186,6.23161,5.85788
E07000009 East Cambridgeshire,3.88095,5.04341,5.85472,5.3909,5.84757,6.64065,6.73351,7.50196,8.14676,8.13969,7.75315,8.50887,6.6585,8.43414,7.9141,7.73432
E07000008 Cambridge,4.35567,5.1656,5.4393,6.01233,6.21308,7.4316,8.04874,8.07229,8.73024,9.18726,9.93561,9.50612,8.22295,9.18965,8.61734,8.66823
E07000007 Wycombe,4.75349,5.36833,5.39858,5.86822,6.21026,6.66792,7.08678,7.88919,8.28432,8.66146,8.73907,8.23035,7.60116,8.54206,8.24353,8.46978
E07000006 South Bucks,7.09424,8.58365,8.24349,9.3227,9.76254,9.08546,10.9557,9.6387,10.8629,12.0691,13.767,11.3032,10.5285,14.1629,13.1775,12.4894
E07000005 Chiltern,7.82882,8.53214,9.16096,10.6219,11.429,10.2947,11.121,11.3541,11.691,11.8783,12.8074,14.0615,11.5816,12.8501,13.0162,12.2894
E07000004 Aylesbury Vale,4.48168,4.79551,5.00839,5.57436,6.06326,6.60861,7.50658,7.80151,8.14588,8.04844,8.4823,8.97496,7.6324,8.2073,8.47507,8.38607
E06000056 Central Bedfordshire,,,,,,,,,,,,,7.51146,8.09196,7.70262,8.1542
E06000056 Bedfordshire,,,,,,,,,,,,,7.51146,8.09196,7.70262,8.1542
E06000055 Bedford,3.34081,3.52054,3.77069,4.01722,4.75031,5.09858,6.22826,6.58652,7.02868,7.03243,7.18996,7.59309,6.91146,7.2286,6.98504,7.48789
E06000054 Wiltshire,4.32024,4.88404,4.83811,5.50052,6.43157,6.56514,7.48826,8.22962,8.50803,8.58519,8.65485,8.25009,7.2926,8.32539,8.11692,8.16332
E06000052 Cornwall,4.13963,4.3488,4.48949,4.99593,5.16402,6.28515,7.80473,9.35161,9.83827,9.61989,10.0058,9.75252,8.32432,9.10791,8.71351,8.99193
E06000051 Shropshire,4.13556,4.26302,4.33655,4.48886,4.886,5.3283,6.78987,7.2788,7.87041,8.32057,8.37838,8.4221,7.54526,7.44015,7.50528,7.61924
E06000050 Cheshire West and Chester,,,,,,,,,,,,,6.12952,6.58744,6.46245,6.53397
E06000050 Cheshire,,,,,,,,,,,,,6.12952,6.58744,6.46245,6.53397
E06000049 Cheshire East,,,,,,,,,,,,,6.68092,7.31907,6.90202,6.67755
E06000048 Northumberland,3.6508,3.5981,3.82757,3.70975,3.87432,3.8353,4.48111,5.92052,6.236,6.39078,6.77583,6.81899,5.97768,6.4063,6.39288,5.89221
E06000047 Durham,2.8174,2.68041,2.83598,2.86226,2.7771,2.89939,3.29847,4.35048,4.68963,5.54887,5.16436,5.18907,4.73326,4.89826,4.50616,4.29393
E06000046 Isle of Wight,3.51279,3.47438,3.92932,3.87606,4.5946,5.506,6.91769,8.43247,8.02511,8.8035,8.12831,8.11842,7.13893,7.49829,6.94382,7.11395
E06000045 Southampton,2.9572,3.25065,3.18091,3.87955,4.13983,4.863,5.58369,6.27645,6.41127,6.31629,6.26818,6.01962,5.56117,6.1473,5.83297,5.80116
E06000044 Portsmouth,3.02296,3.16683,3.37371,3.70388,3.95595,4.52753,5.52338,6.13841,6.16883,5.78903,6.23531,6.07435,5.02923,5.31572,5.71662,5.45359
E06000043 Brighton and Hove,3.75149,4.14994,4.53859,5.35466,6.15119,6.91519,7.7456,8.51668,9.37524,9.10394,10.2733,9.50132,8.33621,9.62257,9.84715,9.53581
E06000042 Milton Keynes,3.13458,3.26167,3.49265,3.9959,4.49179,5.102,5.76034,6.30454,6.65301,6.738,6.82652,6.86253,5.64532,6.78178,6.32595,6.29795
E06000041 Wokingham,4.90357,5.48426,5.80668,6.89547,6.13924,6.66699,7.68314,7.63504,8.19611,7.57134,8.44133,8.0958,7.4875,7.82948,7.74052,8.17744
E06000040 Windsor and Maidenhead,6.04107,7.15566,6.21908,7.79653,8.31352,8.31438,9.27031,9.54619,9.51601,9.29342,10.5553,9.40491,8.76757,10.2675,10.5925,9.96851
E06000039 Slough,3.0189,3.52665,3.66014,4.12007,4.51706,4.97844,5.6899,6.03119,6.30856,6.45968,6.56381,6.91838,5.73997,6.27636,5.84683,6.13227
E06000038 Reading,3.43915,3.57019,3.61889,5.11826,5.41668,5.76704,6.30452,6.33425,6.27705,6.52717,7.31699,7.34688,6.24831,6.40694,6.46569,6.45587
E06000037 West Berkshire,4.74467,4.92707,4.94107,6.05002,5.66771,6.41604,7.13133,6.92581,7.77673,7.54505,8.87938,7.6647,7.08297,7.92136,8.06825,7.80369
E06000037 Berkshire,4.74467,4.92707,4.94107,6.05002,5.66771,6.41604,7.13133,6.92581,7.77673,7.54505,8.87938,7.6647,7.08297,7.92136,8.06825,7.80369
E06000036 Bracknell Forest,3.9562,4.00409,4.10056,4.67723,5.04843,5.60638,5.71627,6.1457,6.53224,6.23095,6.3421,6.4361,5.88851,7.11495,5.92476,7.00563
E06000035 Medway,2.89596,2.95193,3.16415,3.65559,4.00897,4.47216,5.53115,6.03378,6.23783,6.12116,6.40602,6.40032,5.52874,5.69031,5.64685,5.89328
E06000034 Thurrock,2.91315,3.2174,3.20742,3.54964,4.05914,5.06429,6.01875,6.32867,7.132,6.7646,7.28984,6.90966,6.43447,6.7224,6.32543,7.02715
E06000033 Southend-on-Sea,3.27342,3.59144,3.51973,4.18288,4.55873,4.81659,6.93177,7.43199,7.77839,7.63625,8.314,7.94719,7.29746,7.30326,7.48469,7.40037
E06000032 Luton,2.48827,2.58401,2.73715,3.55505,3.9666,4.0987,5.58351,6.4229,6.00501,6.09969,6.29091,6.3316,5.47792,6.17428,6.23904,6.38548
E06000031 Peterborough,2.81838,2.67878,2.89486,3.13989,3.25478,3.86862,4.54661,5.58816,5.7178,5.89133,5.98634,5.9319,5.24282,4.9151,5.30998,5.1349
E06000030 Swindon,2.99778,3.35532,3.49253,4.1807,4.32575,5.12409,5.72359,5.65285,6.09933,6.16852,6.16887,6.06992,5.6104,5.89662,5.35247,5.51986
E06000029 Poole,4.05756,4.2127,4.76943,5.39741,5.69306,6.58641,7.80451,8.82693,8.71755,8.72451,9.21804,9.18613,7.89583,9.04978,7.85449,8.57411
E06000028 Bournemouth,4.43947,4.50253,4.68081,5.28334,6.31601,7.30008,9.14745,9.93912,9.74489,9.24871,7.78702,7.33497,6.99889,8.84225,8.30503,7.73554
E06000027 Torbay,3.83299,4.65676,4.21208,4.7399,4.98728,6.10941,7.5828,8.38835,9.47631,8.23228,9.11601,8.93326,8.10472,8.35019,7.34432,7.1944
E06000026 Plymouth,2.98945,3.07634,2.86133,2.95499,3.29303,4.04875,4.57872,5.53205,6.48548,6.23765,6.88497,6.19039,5.52953,5.91766,5.85964,5.79666
E06000025 South Gloucestershire,3.32335,3.43825,3.63031,4.23758,4.37256,4.98675,5.9605,6.28152,6.46307,6.30629,7.3036,7.00418,5.90407,7.09396,6.57549,7.07123
E06000024 North Somerset,3.65505,3.99771,4.08007,4.56053,4.70282,5.43007,6.26168,6.76617,7.10297,7.2417,7.57328,7.48008,6.94679,7.16236,6.92292,6.70103
"E06000023 Bristol",3.05611,3.18021,3.4642,4.04752,4.32048,5.04088,6.15171,6.26306,6.76569,6.81363,7.0827,6.91356,6.19598,6.34725,6.53832,6.45374
E06000022 Bath and North East Somerset,4.61526,4.64,4.58257,5.94241,6.17348,6.67855,7.77147,8.67411,8.84259,8.85267,9.42471,9.21193,8.05809,9.20323,8.74222,8.73782
E06000021 Stoke-on-Trent,2.39018,2.30903,2.19858,2.3242,2.26551,2.35514,2.54998,3.78578,4.30334,4.45573,4.31272,4.1613,3.68307,3.63296,3.57179,3.70539
E06000020 Telford and Wrekin,3.1193,3.1383,3.55494,3.40763,3.68777,3.81392,4.62416,5.88883,5.84627,5.9049,5.76056,5.87777,5.83863,6.09176,5.67545,5.6675
"E06000019 Herefordshire",4.17796,4.35994,4.78452,5.28905,5.39146,6.0091,7.63062,8.56775,9.10144,8.61207,9.10012,9.10802,8.24998,9.82947,8.86068,8.7204
E06000018 Nottingham,2.65565,2.62448,2.6451,2.60696,2.70844,3.24568,4.00626,4.63629,4.91754,4.94371,4.84854,4.51089,3.78282,4.02864,3.90132,3.98249
E06000017 Rutland,5.37312,5.51889,5.87589,5.79692,6.55998,7.31243,8.00764,8.74086,9.3506,9.82847,9.63231,9.80483,6.62035,9.6186,9.11583,9.79664
E06000016 Leicester,2.56568,2.58649,2.7126,2.76707,2.98637,3.48875,4.54133,5.79057,5.67958,5.60009,5.73664,5.70492,5.04341,4.97145,5.05536,4.80024
E06000015 Derby,2.46532,2.22909,2.27975,2.30588,2.54361,2.94199,3.24065,4.32022,4.70495,4.60761,5.56514,4.21245,4.00034,3.68085,3.5993,3.75033
E06000014 York,3.70914,3.5615,3.51301,3.74763,4.2749,4.93752,6.11043,6.63385,7.45729,7.01935,7.28808,7.43575,6.50204,7.11858,6.8647,6.79765
E06000013 North Lincolnshire,2.48857,2.30894,2.37692,2.47105,2.66907,2.56546,3.19188,4.08021,4.5457,5.11258,5.48092,5.00338,4.7188,4.6861,4.27173,4.38498
E06000012 North East Lincolnshire,2.53337,2.26452,2.69393,2.64451,2.70562,2.80401,2.85657,4.02964,4.09678,4.81533,5.29976,4.89242,4.64789,5.10776,4.34221,4.73315
E06000011 East Riding of Yorkshire,3.26252,3.2256,3.36017,3.2763,3.28261,3.75834,4.63262,6.06769,6.22777,6.2477,6.17171,6.29754,5.58041,5.7515,5.76358,6.13142
"E06000010 Kingston upon Hull",2.17712,2.12909,2.35557,2.23129,2.21291,2.13584,2.57897,2.89169,3.39822,3.78567,4.18012,4.21306,3.42602,4.03096,3.79419,3.78822
E06000009 Blackpool,3.04088,3.12986,3.06751,3.13461,3.13317,3.30856,3.85601,4.92716,5.49454,6.2423,6.23571,6.27919,5.05416,5.13347,4.7474,4.70336
E06000008 Blackburn with Darwen,2.24989,2.21536,2.46453,2.38281,2.17097,2.23748,2.36929,3.15414,3.8997,4.22932,4.26786,4.39296,4.15489,4.10153,3.83567,4.17284
E06000007 Warrington,3.31496,3.44233,3.49855,3.68883,3.67275,4.47719,4.85927,5.96222,6.18668,6.92054,5.98282,5.539,5.56312,5.63883,5.19275,5.87709
E06000006 Halton,2.92149,2.651,2.56745,2.90056,3.07254,2.86447,3.6985,4.12611,4.86928,4.79124,5.07193,4.72767,4.59553,4.77119,4.40298,4.18614
E06000005 Darlington,3.0472,3.321,2.92823,3.20568,3.36337,3.12824,4.05914,5.00279,5.88559,5.82161,5.33471,5.44335,5.09118,5.43819,5.21321,4.96653
E06000004 Stockton-on-Tees,2.9665,2.93042,2.9346,3.03128,3.05364,3.53526,4.3507,4.91289,5.24153,5.65026,6.16148,5.74949,5.06362,5.40027,5.06517,5.27089
E06000003 Redcar and Cleveland,2.32859,2.50697,2.34673,2.27879,2.44966,2.83536,3.45361,3.44199,4.3646,4.89169,4.81129,4.52468,4.48554,4.58808,4.31378,4.93707
E06000002 Middlesbrough,2.82762,2.74158,2.83856,2.68919,2.52867,2.61315,2.14932,3.38623,4.0674,4.79611,5.01826,4.61584,4.70148,4.36957,4.46604,4.24738
E06000001 Hartlepool,2.58549,2.72458,2.85214,3.16296,2.61013,2.92308,3.03609,2.76194,3.00967,4.2073,4.89651,5.44794,3.8691,5.10942,4.39469,3.93289
