Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E08000027 Dudley,3.58958,3.3241,3.66455,3.60851,3.80212,4.32793,4.99087,5.91412,6.31755,6.71805,6.34278,6.23641,5.84583,6.09453,5.65405,5.89154
E08000026 Coventry,2.64491,2.49688,2.48005,2.81683,2.953,3.2115,3.95178,4.51451,4.9381,4.99955,5.36904,4.9681,4.53398,4.57853,4.54966,4.38414
E08000025 Birmingham,2.79513,2.82582,2.91712,3.11102,3.17218,3.70998,4.67673,5.51099,5.64206,5.72746,5.69485,5.49898,4.71366,4.78837,4.83085,4.73558
E08000025 West Midlands,2.79513,2.82582,2.91712,3.11102,3.17218,3.70998,4.67673,5.51099,5.64206,5.72746,5.69485,5.49898,4.71366,4.78837,4.83085,4.73558
E08000024 Sunderland,2.93382,2.83226,2.73476,2.79216,2.65688,3.09831,3.59516,4.47779,4.61806,5.03206,5.24545,5.09595,4.94914,4.61859,4.67703,4.58678
E08000023 South Tyneside,2.97695,2.66281,2.81208,2.65466,2.48435,2.88416,3.46693,4.28126,4.66553,4.9792,5.85165,5.2571,4.96501,5.26896,4.90425,4.63014
E08000022 North Tyneside,3.32539,3.43493,3.34165,3.34399,3.38704,3.16951,4.27431,5.37518,6.09863,6.13773,6.70068,6.08114,5.60894,5.72998,5.32699,5.69381
E08000021 Newcastle upon Tyne,3.10834,3.34897,3.28278,3.22214,3.3455,3.98821,4.73209,6.24022,6.04708,6.56582,6.57508,6.03485,5.50015,5.4127,5.43701,5.28075
E08000021 Tyne and Wear,3.10834,3.34897,3.28278,3.22214,3.3455,3.98821,4.73209,6.24022,6.04708,6.56582,6.57508,6.03485,5.50015,5.4127,5.43701,5.28075
E08000020 Gateshead,2.77561,2.81555,2.66263,2.52318,2.87245,3.39989,4.01035,4.57276,4.68805,5.55789,5.82131,5.43045,5.37531,5.10373,4.69129,4.53604
E08000019 Sheffield,2.81103,2.78833,2.90738,2.94845,3.0797,3.46567,4.07448,4.87525,5.39994,5.54702,5.81858,5.41359,5.01591,5.15742,4.8859,4.97025
E08000019 South Yorkshire,2.81103,2.78833,2.90738,2.94845,3.0797,3.46567,4.07448,4.87525,5.39994,5.54702,5.81858,5.41359,5.01591,5.15742,4.8859,4.97025
E08000018 Rotherham,2.78271,2.52325,2.87505,2.74197,2.92767,3.2238,3.59843,4.31286,5.17972,5.57826,5.46409,5.42149,4.77105,4.72549,4.79659,4.73158
E08000017 Doncaster,2.6627,2.80286,2.82762,2.66591,2.68166,2.77717,3.53827,4.66427,5.12158,5.40135,5.34425,5.11006,4.50403,4.56504,4.44221,4.45745
E08000016 Barnsley,2.66555,2.70024,2.69576,2.68085,2.5843,2.53245,2.95442,4.21869,4.49596,5.12511,5.28156,5.04462,4.17753,4.43271,4.45189,4.2487
E08000015 Wirral,3.03882,2.99745,2.98976,3.31899,3.24376,3.5716,4.41595,5.63675,5.63675,6.29999,6.40796,6.16751,6.01559,6.10172,6.10817,5.84784
E08000014 Sefton,3.69874,3.72489,3.5344,3.86848,3.84273,4.21296,5.10071,6.14228,6.94456,6.92827,7.00467,6.68267,6.35503,6.70103,6.4856,6.05801
E08000013 St. Helens,2.84628,2.85348,2.76447,2.88949,2.9802,2.98087,3.48942,4.68636,5.2966,5.55856,5.59956,5.21259,4.47538,4.82643,4.67547,4.76202
